区域,所属产品,模块,场景名称,场景等级,接口名称,涉及接口
国内,蜜雪小程序/支付宝小程序/Android/IOS,免单管理,免单管理,P2,remove,/freemud/callback/verifyCoupon
国内,蜜雪小程序/支付宝小程序/Android/IOS,活动管理,活动管理,P1,h5活动页-详情,/v1/h5page/info
国内,蜜雪小程序/支付宝小程序/Android/IOS,登录,登录,P0,获取支付宝小程序用户信息,/v1/app/hk/getAlipayMiniUserInfo
国内,蜜雪小程序/支付宝小程序/Android/IOS,登录,登录,P2,小程序三方账户(注册+登录)，APP三方登录进入绑定页面之前调用或者小程序用户未登录加购时，如果用户未授权获取手机号时调用该接口,/v1/app/hk/regByUnionid
国内,蜜雪小程序/支付宝小程序/Android/IOS,商品管理,商品管理,P1,获取列表,/v1/hotProduct//list
国内,蜜雪小程序/支付宝小程序/Android/IOS,优惠券,优惠券,P2,userCoupons,/v1/mtCoupons/userCoupons
国内,蜜雪小程序/支付宝小程序/Android/IOS,优惠券,优惠券,P1,couponStatus,/v1/mtCoupons/couponStatus
国内,蜜雪小程序/支付宝小程序/Android/IOS,营销活动,营销活动,P2,邀请,v1/marketing/invite
国内,蜜雪小程序/支付宝小程序/Android/IOS,营销活动,营销活动,P1,TOPN列表,v1/marketing/getTopN
国内,蜜雪小程序/支付宝小程序/Android/IOS,营销活动,营销活动,P1,pointInfoV2,v1/marketing/v2/point/info
国内,蜜雪小程序/支付宝小程序/Android/IOS,营销活动,营销活动,P1,pointInfo,v1/marketing/point/info
国内,蜜雪小程序/支付宝小程序/Android/IOS,权益管理,权益管理,P2,会员权益查询,/v1/memberRights/levels
国内,蜜雪小程序/支付宝小程序/Android/IOS,权益管理,权益管理,P1,首页会员等级,/v1/memberRights/mainPage/levels
国内,蜜雪小程序/支付宝小程序/Android/IOS,权益管理,权益管理,P1,首页会员特权,/v1/memberRights/mainPage/privileges
国内,蜜雪小程序/支付宝小程序/Android/IOS,权益管理,权益管理,P1,会员领取优惠券,/v1/memberRights/getCoupons
国内,蜜雪小程序/支付宝小程序/Android/IOS,权益管理,权益管理,P2,我的会员权益查询,/v2/memberRights/levels
国内,蜜雪小程序/支付宝小程序/Android/IOS,权益管理,权益管理,P2,我的会员权益查询,/v2/memberRights/h5/levels
国内,蜜雪小程序/支付宝小程序/Android/IOS,权益管理,权益管理,P1,首页会员等级,/v2/memberRights/mainPage/levels
